,statement,source,link,veracity
0,"Says that in 1770 ""British parliament banned lipstick, saying it had the power to seduce men into marriage, which was classified as witchcraft.""",Facebook posts,/facebook-fact-checks/statements/2019/oct/25/facebook-posts/no-british-parliament-didnt-ban-witchcraft-lipstic/,Pants on Fire!
1,"Says Ann Landers said, ""At age 20, we worry about what others think of us. At age 40, we don’t care what they think. At age 60, we discover that they have not been thinking of us at all.""",Viral image,/facebook-fact-checks/statements/2019/oct/25/viral-image/no-evidence-ann-landers-said-quote-about-age/,False
2,"""General Motors is making record profits.""",Glenn Kage,/missouri/statements/2019/oct/25/glenn-kage/general-motors-profits-have-been-record-setting-no/,Half-True
3,"""14,000 abandoned wind turbines litter the United States.""",Chain email,/missouri/statements/2019/oct/25/chain-email/no-there-arent-14000-abandoned-wind-turbines-litte/,Pants on Fire!
4,"Says Congress gave Wall Street ""trillions of dollars of zero interest loans.""",Bernie Sanders,/truth-o-meter/statements/2019/oct/25/bernie-sanders/bernie-sanders-overstates-recession-aid-wall-stree/,Half-True
5,"Says Chick-fil-A funds the National Christian Foundation, which ""paid a preacher to go to Uganda and help their lawmakers"" with a bill that would impose the death penalty for homosexuality.",Facebook posts,/facebook-fact-checks/statements/2019/oct/25/facebook-posts/what-does-chick-fil-have-do-ugandas-anti-gay-bill-/,Mostly False
6,"Says Donald Trump said, ""Make no mistake: They’re not after me. They are after you; your guns, your Christian values, your freedom. I’m just in their way.""",Viral image,/facebook-fact-checks/statements/2019/oct/25/viral-image/no-donald-trump-didnt-say-about-christian-values-a/,False
7,"""President Trump is asking everyone to forward this email… The TRUMP Rules: Congressional Reform Act of 2017.""",Viral image,/facebook-fact-checks/statements/2019/oct/25/viral-image/no-trump-isnt-asking-you-forward-email-about-trump/,Pants on Fire!
8,"Says his impeachment is a ""coup.""",Donald Trump,/truth-o-meter/statements/2019/oct/25/donald-trump/donald-trump-says-impeachment-coup-s-pants-fire/,Pants on Fire!
9,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",Matt Gaetz,/florida/statements/2019/oct/25/matt-gaetz/matt-gaetz-says-obama-permanently-stopped-military/,Mostly False
10,"Says Brooke Baldwin said, ""Don’t hire veterans! They’re too damaged to be trusted with authority.""",Viral image,/facebook-fact-checks/statements/2019/oct/25/viral-image/brooke-baldwin-didnt-say-about-veterans-she-did-co/,False
11,A photo shows a man grabbing a woman’s rear while watching the Apollo 8 launch in 1968.,Viral image,/facebook-fact-checks/statements/2019/oct/24/viral-image/no-isnt-real-photo-couple-watching-apollo-8-launch/,False
12,Says a photo shows a driver and passengers wearing moose heads in a truck with a man strapped to the roof that caused 16 accidents on I-35.,Viral image,/facebook-fact-checks/statements/2019/oct/24/viral-image/drunk-men-wearing-moose-heads-didnt-actually-terro/,Pants on Fire!
13,"Says a list of prominent Democrats have concealed their ""real names"" from the public.",Facebook posts,/facebook-fact-checks/statements/2019/oct/24/facebook-posts/post-prominent-democrats-concealing-their-real-nam/,False
14,"Barnes & Noble and Target have the book ""If You Give a Pig the White House"" in their children’s sections.",Viral image,/facebook-fact-checks/statements/2019/oct/24/viral-image/barnes-noble-isnt-selling-if-you-give-pig-white-ho/,False
15,"""The Trump family was disallowed from operating any charity in the State of New York because they stole from a kids cancer charity.""",Facebook posts,/facebook-fact-checks/statements/2019/oct/24/facebook-posts/trump-family-disallowed-operating-charities-new-yo/,False
16,"""I'm one of only two candidates in the field that 10% or more of Donald Trump voters say they would support in the general"" election.",Andrew Yang,/truth-o-meter/statements/2019/oct/24/andrew-yang/andrew-yangs-claim-support-among-trump-voters-rate/,Pants on Fire!
17,"Says popular food and drink items such as Kraft, Pepsi and Nestle use a flavor enhancement company that ""puts aborted baby fetus cells in their food and drinks.""",Facebook posts,/facebook-fact-checks/statements/2019/oct/23/facebook-posts/no-food-companies-are-not-selling-products-contain/,False
18,"""The vast majority of Wisconsin students cannot even read, write, or do math at grade level.""",Jeremy Thiesfeldt,/wisconsin/statements/2019/oct/23/jeremy-thiesfeldt/no-vast-majority-wisconsin-students-are-not-below-/,False
19,"""Most of the requests for records possessed by the Attorney General’s Office are from private law firms and companies.""",TJ Donovan,/vermont/statements/2019/oct/22/tj-donovan/vermonts-ag-misses-mark-claim-most-records-request/,Mostly False
20,"""Trump is now suing CNN over ‘pro-impeachment bias’ and he demands a ‘substantial payment.’""",Viral image,/facebook-fact-checks/statements/2019/oct/22/viral-image/trump-hasnt-sued-cnn-hes-threatened/,Mostly False
21,"""President Trump has sent 14,000 American troops to the (Middle East) region since May. So he can't tell his political rallies that he's getting troops out of endless wars when he's sending 14 times the amount back into the region.""",Brett McGurk,/punditfact/statements/2019/oct/22/brett-mcgurk/mcgurk-right-trump-has-sent-14000-troops-middle-ea/,True
22,"AARP backed ""federal funding for Planned Parenthood.""",Association of Mature American Citizens,/truth-o-meter/statements/2019/oct/22/association-mature-american-citizens/online-ads-claiming-aarp-backed-federal-funding-pl/,False
23,"""Hemp has 25,000-35,000 known usages. That means it is going to be something that will replace plastics, and styrofoam and concrete.""",Nikki Fried,/florida/statements/2019/oct/22/nikki-fried/will-hemp-replace-plastics-and-concrete-florida-de/,Mostly False
24,"""Sheila Bynum-Coleman said, ‘We need to get the police out of the schools.’""",Kirk Cox,/virginia/statements/2019/oct/22/kirk-cox/cox-ad-distorts-bynum-coleman-statement-police-sch/,Mostly False
25,"Says drinking a ""6-ounce glass of tonic water each night before bed"" will help alleviate restless legs syndrome.",Facebook posts,/facebook-fact-checks/statements/2019/oct/21/facebook-posts/no-drinking-tonic-water-isnt-proven-method-allevia/,False
26,"Says a photo shows ""Kurdish kids"" after Turkey’s invasion.",Viral image,/facebook-fact-checks/statements/2019/oct/21/viral-image/these-photos-are-palestinian-and-syrian-children-n/,False
27,"""To be clear, I’m not talking about confiscating anybody’s guns.""",Beto O'Rourke,/truth-o-meter/statements/2019/oct/21/beto-orourke/despite-his-claim-presidential-candidate-beto-orou/,False
28,"Says California has ""30% or a third of the country’s people living at or below the poverty level.""",Mark Batinick,/illinois/statements/2019/oct/20/mark-batinick/no-30-nations-poor-dont-reside-california/,False
29,"Says Donald Trump ""will not be profiting"" from the G-7 summit meeting to be held at Trump’s Doral resort.",Mick Mulvaney,/truth-o-meter/statements/2019/oct/18/mick-mulvaney/mulvaney-wrong-donald-trump-wont-profit-g7/,False
30,"""When my father became commander in chief of this country, we got out of all international business.""",Eric Trump,/truth-o-meter/statements/2019/oct/18/eric-trump/eric-trumps-false-claim-trump-family-got-out-all-i/,Pants on Fire!
31,"Says Donald Trump is breaking a campaign pledge to bring manufacturing jobs back to Wisconsin and Pennsylvania since the two states ""have lost the most manufacturing jobs in the past year.""",Democratic National Committee,/wisconsin/statements/2019/oct/18/democratic-national-committee/dnc-trump-manufacturing-jobs/,Mostly False
32,"""75-100 folks (are) killed a month and over 200 wounded by senseless gun violence.""",Richard Ojeda,/west-virginia/statements/2019/oct/17/richard-ojeda/how-many-americans-are-killed-and-injured-guns-eve/,Mostly False
33,"""The City of Austin is dedicating more than $20,000 PER HOMELESS PERSON in Austin.""",Greg Abbott,/texas/statements/2019/oct/17/greg-abbott/how-much-does-city-austin-spend-homeless-person/,Half-True
34,"""Most people below $50,000 don’t pay any income tax. The top 1 percent in our country pay 40%.""",Rand Paul,/truth-o-meter/statements/2019/oct/17/rand-paul/fact-checking-rand-pauls-appearance-view/,Mostly True
35,"""The Kurds are much safer right now.""",Donald Trump,/truth-o-meter/statements/2019/oct/16/donald-trump/after-attacks-turkey-trump-falsely-claims-kurds-sy/,False
36,"""People haven't had a raise -- 90 percent of Americans have not had a raise for 40 years.""",Tom Steyer,/california/statements/2019/oct/16/tom-steyer/tom-steyers-half-true-claim-90-americans-have-not-/,Half-True
37,"Says that for two weeks after you get a flu shot you are an ""active, live walking virus.""",Facebook posts,/facebook-fact-checks/statements/2019/oct/16/facebook-posts/no-youre-not-active-live-walking-virus-2-weeks-fol/,Pants on Fire!
38,"Says about universal basic income, ""Thomas Paine was for it at our founding ... Martin Luther King, champion in the ‘60s, called it a guaranteed minimum income for all Americans… It passed the U.S. House of Representatives twice in 1971.""",Andrew Yang,/truth-o-meter/statements/2019/oct/16/andrew-yang/fact-checking-andrew-yang-history-universal-basic-/,Mostly True
39,"Quotes President John F. Kennedy as saying ""If the United States ever experienced [a coup to overthrow the government] it will come from the CIA and not the Pentagon.""",Facebook posts,/facebook-fact-checks/statements/2019/oct/16/facebook-posts/no-evidence-jfk-said-any-us-coup-would-come-cia-no/,False
40,"Says a photo shows ""25,000 outside all to hear the POTUS speak!""",Viral image,/facebook-fact-checks/statements/2019/oct/16/viral-image/photo-cleveland-cavaliers-victory-parade-not-outsi/,False
41,"""The 1% is paying less in taxes than everyone else.""",Ilhan Omar,/truth-o-meter/statements/2019/oct/16/ilhan-omar/does-1-pay-less-taxes-everyone-else/,Half-True
42,"""Ohio, Michigan, and Pennsylvania actually in the latest jobs data have lost jobs, not gained them.""",Julián Castro,/truth-o-meter/statements/2019/oct/16/julian-castro/julian-castro-wrong-about-job-losses-ohio-michigan/,False
43,"""For people making between $50,000 and $75,000 a year, their taxes are going up about $5,000 because the fact is, they will pay more in new taxes"" for Medicare for All.",Joe Biden,/health-check/statements/2019/oct/16/joe-biden/bidens-claim-medicare-all-tax-hikes-rests-flaky-an/,Mostly False
44,"""Back when I was studying it, two out of three families that ended up in bankruptcy after a serious medical problem had health insurance.""",Elizabeth Warren,/health-check/statements/2019/oct/16/elizabeth-warren/warren-wades-debate-health-care-costs-and-bankrupt/,Mostly True
45,"Americans ""say that what they want is a choice"" to join a single-payer system like Medicare rather than ending private insurance.",Pete Buttigieg,/truth-o-meter/statements/2019/oct/16/pete-buttigieg/refereeing-pete-buttigieg-elizabeth-warren-medicar/,True
