,statement,source,year,veracity
1_0,Photos show Joe Biden didn’t drive himself during an electric vehicle test drive.,Facebook posts,"stated on May 19, 2021 in a Facebook post:",pants-fire
1_1,"The Biden White House has ""no one there. They don't travel. They don't go down to the border. They don't go overseas.""",Eric Trump,"stated on May 18, 2021 in a Fox News appearance:",pants-fire
1_2,“Video shows U.S. Capitol Police gave protesters OK to enter.”,Facebook posts,"stated on May 16, 2021 in a Facebook post:",pants-fire
1_3,"""When you can't find gas, remember who executively ordered the Keystone Pipeline to close.""",Facebook posts,"stated on May 10, 2021 in a Facebook post:",false
1_4,On supporting Liz Cheney for House Republican leadership position,Mike Gallagher,"stated on May 11, 2021 in Public statement:",full-flop
1_5,"“Watching the TV footage of those who entered the Capitol. … If you didn't know the TV footage was from Jan. 6, you would actually think it was a normal tourist visit.”",Andrew Clyde,"stated on May 12, 2021 in a House hearing:",pants-fire
1_6,"After the American Rescue Plan’s food and nutrition assistance, “hunger is already sharply down in the United States.”",Joe Biden,"stated on May 5, 2021 in remarks:",mostly-true
1_7,“First time in 70 years the National Day Of Prayer was not observed in our nation’s capital!”,Facebook posts,"stated on May 6, 2021 in a Facebook post:",false
1_8,"With the goal to preserve 30% of the earth’s land and water by 2030, “300 million people stand to lose their land and livelihood, most of them tribal and indigenous peoples.”",Survival International,"stated on April 22, 2021 in a website press release:",barely-true
1_9,"""There’s no strings attached to that money that we’d be getting as an incentive to expand Medicaid.""",Jon Erpenbach,"stated on March 21, 2021 in TV interview:",half-true
1_10,A spy plane was circling the building of the Arizona election audit.,Bloggers,"stated on May 3, 2021 in a Facebook post:",pants-fire
1_11,"If you get the COVID-19 vaccine, you can't donate blood or plasma ""because it's completely tainted.""",TikTok posts,"stated on April 30, 2021 in a TikTok video:",false
1_12,Says Democrats blocked his efforts at police reform.,Tim Scott,"stated on April 28, 2021 in a GOP response to President Joe Biden's speech:",mostly-true
1_13,60% of new COVID-19 patients are people who received the vaccine.,Viral image,"stated on April 22, 2021 in viral image on Instagram:",pants-fire
1_14,Says Joe Biden is “going to control how much meat you can eat.”,Kevin McCarthy,"stated on April 28, 2021 in a Fox News appearance:",pants-fire
1_15,“Biden is currently sending more military equipment to our neighborhoods than Trump did.”,Black Lives Matter,"stated on April 20, 2021 in a tweet:",false
1_16,Says his administration’s efforts have led to more school reopenings.,Joe Biden,"stated on April 21, 2021 in remarks:",half-true
